序号,生产企业名称,车辆型号,通用名称,纯电动续驶里程(km),整车整备质量(kg),动力蓄电池组总质量(kg),动力蓄电池组总能量(kWh),备注,批次
1 ,中国第一汽车集团有限公司,CA7003BEVB,奔腾B30EV400,406,1463,325,52,,201927
2 ,中国第一汽车集团有限公司,CA7003BEVC,奔腾B30EV400,402,1463,335,51,,201927
3 ,中国第一汽车集团有限公司,CA7003BEVD,奔腾B30EV400/长寿新特 MEV,402,1463,318,51,,201927
4 ,东风汽车有限公司,DFL7000NA81BEV,T60EV,442,1590,366,61,,201927
5 ,东风汽车集团有限公司,DFA7000C1A4BEV,EV30,143,1200,155,20,,201927
6 ,东风汽车集团有限公司,DFA7000C1A5BEV,EV30,143,1230,155,20,,201927
7 ,上汽通用汽车有限公司,SGM7007LABEV,MENLO,410,1660,382,53,,201927
8 ,北京新能源汽车股份有限公司,BJ7000CTD-BEV,EU5,416,1600,380,54,,201927
9 ,北京汽车股份有限公司,BJ7000C5D8-BEV,EU5,416,1640,320,51,,201927
10 ,河北中兴汽车制造有限公司,BQ6452PBEV,田野EV,260,1615,296,40,,201927
11 ,山西新能源汽车工业有限公司,JHC7002BEV44,帝豪EV,402,1570,346,54,,201927
12 ,山西新能源汽车工业有限公司,JHC7002BEV45,帝豪EV,402,1570,346,54, ,201927
13 ,山西新能源汽车工业有限公司,JHC7002BEV46,GE11,410,1650,346,54, ,201927
14 ,山西新能源汽车工业有限公司,JHC7002BEV63,帝豪GSE,400,1635,346,54, ,201927
15 ,华晨汽车集团控股有限公司,SY7000BEVDAC,中华H530EV,420,1700,438,62, ,201927
16 ,威马汽车制造温州有限公司,SZS6460A31BEV,EX5400,415,1720,339,54, ,201927
17 ,威马汽车制造温州有限公司,SZS6460A32BEV,EX5 出行,475,1709,412,57, ,201927
18 ,威马汽车制造温州有限公司,SZS6460A34BEV,EX5 出行,335,1630,333,46, ,201927
19 ,浙江豪情汽车制造有限公司,JL7002BEV05,帝豪EV,402,1570,346,54, ,201927
20 ,安徽江淮汽车集团股份有限公司,HFC6502ECEV4-W,ES8,355,2485,505,70, ,201927
21 ,安徽江淮汽车集团股份有限公司,HFC7000EWEV7,江淮iEV6E,310,1270,249,35, ,201927
22 ,安徽江淮汽车集团股份有限公司,HFC7001EAEV12,江淮iEV7S,280,1400,251,35, ,201927
23 ,江西昌河汽车有限责任公司,CH7000BEVFA3B5,北斗星,101,865,104,12, ,201927
24 ,江西大乘汽车有限公司,JML7000BEV05,E20,302,930,205,30, ,201927
25 ,郑州日产汽车有限公司,ZN6456V1YBEV,帅客,320,1685,377,53, ,201927
26 ,比亚迪汽车工业有限公司,BYD7002BEVA1,比亚迪e3,305,1255,220,35, ,201927
27 ,比亚迪汽车工业有限公司,QCJ6490SBEV,腾势X,520,2175,514,83, ,201927
28 ,湖南江南汽车制造有限公司,JNJ6410EV1,捷泰,285,1335,276,35, ,201927
29 ,广汽乘用车有限公司,GAM6480BEVB0A,传祺AION LX,503,1900,428,70, ,201927
30 ,广汽乘用车有限公司,GAM6480BEVB0E,传祺AION LX,600,2180,533,93, ,201927
31 ,东风柳州汽车有限公司,LZ6511MLANEV,菱智M5EV,313,1850,316,51, ,201927
32 ,东风柳州汽车有限公司,LZ6513MLAEV,菱智M5EV,313,1720,316,51, ,201927
33 ,东风柳州汽车有限公司,LZ6514MLAEV,菱智M5EV,313,1820,316,51, ,201927
34 ,重庆长安汽车股份有限公司,SC6458FACBEV,易电易行,258,1520,284,43, ,201927
35 ,重庆长安汽车股份有限公司,SC6478AABBEV,X7EV,405,1855,442,60, ,201927
36 ,重庆长安汽车股份有限公司,SC7001AAABEV,奔奔E-Star,301,1180,230,32, ,201927
37 ,重庆长安汽车股份有限公司,SC7005AABBEV,CS55 E-Rock,605,1920,545,84, ,201927
38 ,奇瑞汽车股份有限公司,SQR7005BEVJ51,eQ2,170,1300,241,23, ,201927
39 ,奇瑞汽车股份有限公司,SQR7006BEVJ51,eQ2,170,1250,241,23, ,201927
40 ,海马汽车有限公司,HMA7000ABBEV,爱尚360/E1,301,1035,207,29, ,201927
41 ,海马汽车有限公司,HMA7000ADBEV,爱尚EV/E1,100,830,90,10, ,201927
42 ,海马汽车有限公司,HMA7000AEBEV,爱尚EV/E1,132,840,106,13, ,201927
43 ,海马汽车有限公司,HMA7000AFBEV,爱尚360/E1,251,960,174,25, ,201927
